,date,state,fips,cases,deaths
39929,2022-02-23,Virginia,51,1633035,18338
39985,2022-02-24,Virginia,51,1634851,18440
40041,2022-02-25,Virginia,51,1636510,18536
40097,2022-02-26,Virginia,51,1636510,18536
40153,2022-02-27,Virginia,51,1636510,18536
40209,2022-02-28,Virginia,51,1639942,18771
40265,2022-03-01,Virginia,51,1641438,18811
40321,2022-03-02,Virginia,51,1643050,18859
40377,2022-03-03,Virginia,51,1644694,18905
40433,2022-03-04,Virginia,51,1645791,18955
40489,2022-03-05,Virginia,51,1645791,18955
40545,2022-03-06,Virginia,51,1645791,18955
40601,2022-03-07,Virginia,51,1648179,19060
40657,2022-03-08,Virginia,51,1649266,19098
40713,2022-03-09,Virginia,51,1650334,19141
40769,2022-03-10,Virginia,51,1651940,19165
40825,2022-03-11,Virginia,51,1653212,19212
40881,2022-03-12,Virginia,51,1653212,19212
40937,2022-03-13,Virginia,51,1653212,19212
40993,2022-03-14,Virginia,51,1654893,19315
41049,2022-03-15,Virginia,51,1656187,19356
41105,2022-03-16,Virginia,51,1657409,19392
41161,2022-03-17,Virginia,51,1658568,19430
41217,2022-03-18,Virginia,51,1659710,19466
41273,2022-03-19,Virginia,51,1659710,19466
41329,2022-03-20,Virginia,51,1659710,19466
41385,2022-03-21,Virginia,51,1661484,19520
41441,2022-03-22,Virginia,51,1662140,19543
41497,2022-03-23,Virginia,51,1663132,19563
41553,2022-03-24,Virginia,51,1664080,19586
41609,2022-03-25,Virginia,51,1665082,19609
41665,2022-03-26,Virginia,51,1665082,19609
41721,2022-03-27,Virginia,51,1665082,19609
41777,2022-03-28,Virginia,51,1666422,19631
41833,2022-03-29,Virginia,51,1667289,19653
41889,2022-03-30,Virginia,51,1668087,19673
41945,2022-03-31,Virginia,51,1668891,19692
42001,2022-04-01,Virginia,51,1669750,19714
42057,2022-04-02,Virginia,51,1669750,19714
42113,2022-04-03,Virginia,51,1669750,19714
42169,2022-04-04,Virginia,51,1671423,19720
42225,2022-04-05,Virginia,51,1672450,19754
42281,2022-04-06,Virginia,51,1673382,19789
42337,2022-04-07,Virginia,51,1674560,19823
42393,2022-04-08,Virginia,51,1675845,19859
42449,2022-04-09,Virginia,51,1675845,19859
42505,2022-04-10,Virginia,51,1675845,19859
42561,2022-04-11,Virginia,51,1678215,19884
42617,2022-04-12,Virginia,51,1679418,19918
42673,2022-04-13,Virginia,51,1680533,19953
42729,2022-04-14,Virginia,51,1681729,19988
42785,2022-04-15,Virginia,51,1683267,20022
42841,2022-04-16,Virginia,51,1683267,20022
42897,2022-04-17,Virginia,51,1683267,20022
42953,2022-04-18,Virginia,51,1685887,20044
19150,2021-02-13,Washington,53,331033,4739
19205,2021-02-14,Washington,53,331164,4739
19260,2021-02-15,Washington,53,331305,4739
19315,2021-02-16,Washington,53,333185,4777
19370,2021-02-17,Washington,53,334284,4824
19425,2021-02-18,Washington,53,335338,4868
19480,2021-02-19,Washington,53,336184,4886
19535,2021-02-20,Washington,53,336819,4886
19590,2021-02-21,Washington,53,336945,4886
19645,2021-02-22,Washington,53,338309,4924
19700,2021-02-23,Washington,53,339051,4947
19755,2021-02-24,Washington,53,339913,4988
19810,2021-02-25,Washington,53,340997,5015
19865,2021-02-26,Washington,53,341941,5024
19920,2021-02-27,Washington,53,342574,5024
19975,2021-02-28,Washington,53,342644,5024
20030,2021-03-01,Washington,53,343723,5038
20085,2021-03-02,Washington,53,344516,5056
20140,2021-03-03,Washington,53,345193,5075
20195,2021-03-04,Washington,53,346030,5098
20250,2021-03-05,Washington,53,346733,5104
20305,2021-03-06,Washington,53,347301,5107
20360,2021-03-07,Washington,53,347391,5108
20415,2021-03-08,Washington,53,348485,5129
20470,2021-03-09,Washington,53,349196,5141
20525,2021-03-10,Washington,53,349881,5159
20580,2021-03-11,Washington,53,350661,5167
20635,2021-03-12,Washington,53,351419,5183
20690,2021-03-13,Washington,53,352116,5183
20745,2021-03-14,Washington,53,352225,5183
20800,2021-03-15,Washington,53,353344,5192
20855,2021-03-16,Washington,53,353981,5206
20910,2021-03-17,Washington,53,354906,5212
20965,2021-03-18,Washington,53,355706,5225
21020,2021-03-19,Washington,53,356637,5224
21075,2021-03-20,Washington,53,357376,5224
21130,2021-03-21,Washington,53,357420,5224
21185,2021-03-22,Washington,53,358727,5232
21240,2021-03-23,Washington,53,359290,5249
21295,2021-03-24,Washington,53,360203,5250
21350,2021-03-25,Washington,53,361300,5286
21405,2021-03-26,Washington,53,362403,5288
21460,2021-03-27,Washington,53,363588,5288
21515,2021-03-28,Washington,53,363659,5288
21570,2021-03-29,Washington,53,365029,5296
21625,2021-03-30,Washington,53,365816,5302
21680,2021-03-31,Washington,53,366907,5309
21735,2021-04-01,Washington,53,368049,5316
21790,2021-04-02,Washington,53,369319,5325
21845,2021-04-03,Washington,53,370362,5326
21900,2021-04-04,Washington,53,370409,5326
21955,2021-04-05,Washington,53,372631,5338
22010,2021-04-06,Washington,53,373227,5350
22065,2021-04-07,Washington,53,374402,5357
22120,2021-04-08,Washington,53,375381,5367
22175,2021-04-09,Washington,53,376812,5373
22230,2021-04-10,Washington,53,377979,5373
22285,2021-04-11,Washington,53,378052,5373
22340,2021-04-12,Washington,53,380554,5380
22395,2021-04-13,Washington,53,381537,5391
22450,2021-04-14,Washington,53,382627,5407
22505,2021-04-15,Washington,53,383951,5412
22560,2021-04-16,Washington,53,385695,5427
22615,2021-04-17,Washington,53,387312,5427
22670,2021-04-18,Washington,53,387382,5427
22725,2021-04-19,Washington,53,388842,5439
22780,2021-04-20,Washington,53,390415,5451
22835,2021-04-21,Washington,53,392013,5466
22890,2021-04-22,Washington,53,393514,5472
22945,2021-04-23,Washington,53,395354,5477
23000,2021-04-24,Washington,53,396890,5478
23055,2021-04-25,Washington,53,397006,5478
23110,2021-04-26,Washington,53,399327,5498
23165,2021-04-27,Washington,53,400386,5510
23220,2021-04-28,Washington,53,402049,5522
23275,2021-04-29,Washington,53,403589,5535
23330,2021-04-30,Washington,53,404972,5547
23385,2021-05-01,Washington,53,406546,5547
23440,2021-05-02,Washington,53,406659,5547
23495,2021-05-03,Washington,53,409151,5555
23550,2021-05-04,Washington,53,410494,5575
23605,2021-05-05,Washington,53,411842,5586
23660,2021-05-06,Washington,53,413004,5598
23715,2021-05-07,Washington,53,414479,5609
23770,2021-05-08,Washington,53,415873,5609
23825,2021-05-09,Washington,53,415942,5609
23880,2021-05-10,Washington,53,417677,5630
23935,2021-05-11,Washington,53,418879,5637
23990,2021-05-12,Washington,53,419977,5658
24045,2021-05-13,Washington,53,421279,5669
24100,2021-05-14,Washington,53,423721,5663
24155,2021-05-15,Washington,53,424499,5663
24210,2021-05-16,Washington,53,424581,5663
24265,2021-05-17,Washington,53,425382,5682
24320,2021-05-18,Washington,53,426058,5700
24375,2021-05-19,Washington,53,426949,5720
24430,2021-05-20,Washington,53,427913,5735
24485,2021-05-21,Washington,53,429514,5747
24540,2021-05-22,Washington,53,429514,5747
24595,2021-05-23,Washington,53,429526,5747
24650,2021-05-24,Washington,53,431446,5754
24705,2021-05-25,Washington,53,432490,5767
24760,2021-05-26,Washington,53,434154,5785
24815,2021-05-27,Washington,53,435680,5798
24870,2021-05-28,Washington,53,436741,5809
24925,2021-05-29,Washington,53,437492,5809
24980,2021-05-30,Washington,53,437492,5809
25035,2021-05-31,Washington,53,437500,5809
25090,2021-06-01,Washington,53,438918,5833
25145,2021-06-02,Washington,53,439675,5845
25200,2021-06-03,Washington,53,440538,5866
25255,2021-06-04,Washington,53,441271,5881
25310,2021-06-05,Washington,53,441926,5881
25365,2021-06-06,Washington,53,442006,5881
25420,2021-06-07,Washington,53,442762,5894
25475,2021-06-08,Washington,53,443564,5821
25530,2021-06-09,Washington,53,444159,5836
25585,2021-06-10,Washington,53,444922,5846
25640,2021-06-11,Washington,53,445488,5857
25695,2021-06-12,Washington,53,446034,5857
25750,2021-06-13,Washington,53,446091,5858
25805,2021-06-14,Washington,53,446778,5825
25860,2021-06-15,Washington,53,447266,5842
25915,2021-06-16,Washington,53,447781,5850
25970,2021-06-17,Washington,53,448263,5852
26025,2021-06-18,Washington,53,448716,5863
26080,2021-06-19,Washington,53,449108,5867
26135,2021-06-20,Washington,53,449170,5867
26190,2021-06-21,Washington,53,449829,5881
26245,2021-06-22,Washington,53,450253,5887
26300,2021-06-23,Washington,53,450995,5930
26355,2021-06-24,Washington,53,451560,5939
26410,2021-06-25,Washington,53,451980,5949
26465,2021-06-26,Washington,53,452327,5948
26520,2021-06-27,Washington,53,452390,5948
26575,2021-06-28,Washington,53,452960,5956
26630,2021-06-29,Washington,53,453307,5963
26685,2021-06-30,Washington,53,453630,5984
26740,2021-07-01,Washington,53,454087,5992
26795,2021-07-02,Washington,53,454484,5994
26850,2021-07-03,Washington,53,454484,5994
26905,2021-07-04,Washington,53,454484,5994
26960,2021-07-05,Washington,53,454484,5994
27015,2021-07-06,Washington,53,455630,6011
27070,2021-07-07,Washington,53,456116,6027
27125,2021-07-08,Washington,53,456643,6040
27180,2021-07-09,Washington,53,457092,6050
27235,2021-07-10,Washington,53,457092,6050
27290,2021-07-11,Washington,53,457092,6050
27345,2021-07-12,Washington,53,458724,6051
27400,2021-07-13,Washington,53,459282,6070
27455,2021-07-14,Washington,53,460015,6076
27510,2021-07-15,Washington,53,460730,6086
27565,2021-07-16,Washington,53,461401,6093
27620,2021-07-17,Washington,53,461412,6093
27675,2021-07-18,Washington,53,461412,6093
27730,2021-07-19,Washington,53,463232,6096
27785,2021-07-20,Washington,53,464014,6106
27840,2021-07-21,Washington,53,464963,6112
27895,2021-07-22,Washington,53,466437,6114
27950,2021-07-23,Washington,53,467489,6124
28005,2021-07-24,Washington,53,467489,6124
28060,2021-07-25,Washington,53,467489,6124
28115,2021-07-26,Washington,53,470553,6134
28170,2021-07-27,Washington,53,471529,6141
28225,2021-07-28,Washington,53,472867,6143
28280,2021-07-29,Washington,53,473676,6160
28335,2021-07-30,Washington,53,474520,6165
28390,2021-07-31,Washington,53,474520,6165
28445,2021-08-01,Washington,53,474520,6165
28500,2021-08-02,Washington,53,477352,6169
28555,2021-08-03,Washington,53,482341,6177
28610,2021-08-04,Washington,53,484838,6185
28665,2021-08-05,Washington,53,487754,6200
28720,2021-08-06,Washington,53,489960,6209
28775,2021-08-07,Washington,53,489960,6209
28830,2021-08-08,Washington,53,489960,6209
28885,2021-08-09,Washington,53,496367,6216
28940,2021-08-10,Washington,53,497771,6233
28995,2021-08-11,Washington,53,501941,6250
29050,2021-08-12,Washington,53,505566,6262
29105,2021-08-13,Washington,53,508631,6287
29160,2021-08-14,Washington,53,508631,6287
