,STNAME,CTYNAME,POPESTIMATE2019
1000,Kansas,Sumner County,22836
1001,Kansas,Thomas County,7777
1002,Kansas,Trego County,2803
1003,Kansas,Wabaunsee County,6931
1004,Kansas,Wallace County,1518
1005,Kansas,Washington County,5406
1006,Kansas,Wichita County,2119
1007,Kansas,Wilson County,8525
1008,Kansas,Woodson County,3138
1009,Kansas,Wyandotte County,165429
1010,Kentucky,Kentucky,4467673
1011,Kentucky,Adair County,19202
1012,Kentucky,Allen County,21315
1013,Kentucky,Anderson County,22747
1014,Kentucky,Ballard County,7888
1015,Kentucky,Barren County,44249
1016,Kentucky,Bath County,12500
1017,Kentucky,Bell County,26032
1018,Kentucky,Boone County,133581
1019,Kentucky,Bourbon County,19788
1020,Kentucky,Boyd County,46718
1021,Kentucky,Boyle County,30060
1022,Kentucky,Bracken County,8303
1023,Kentucky,Breathitt County,12630
1024,Kentucky,Breckinridge County,20477
1025,Kentucky,Bullitt County,81676
1026,Kentucky,Butler County,12879
1027,Kentucky,Caldwell County,12747
1028,Kentucky,Calloway County,39001
1029,Kentucky,Campbell County,93584
1030,Kentucky,Carlisle County,4760
1031,Kentucky,Carroll County,10631
1032,Kentucky,Carter County,26797
1033,Kentucky,Casey County,16159
1034,Kentucky,Christian County,70461
1035,Kentucky,Clark County,36263
1036,Kentucky,Clay County,19901
1037,Kentucky,Clinton County,10218
1038,Kentucky,Crittenden County,8806
1039,Kentucky,Cumberland County,6614
1040,Kentucky,Daviess County,101511
1041,Kentucky,Edmonson County,12150
1042,Kentucky,Elliott County,7517
1043,Kentucky,Estill County,14106
1044,Kentucky,Fayette County,323152
1045,Kentucky,Fleming County,14581
1046,Kentucky,Floyd County,35589
1047,Kentucky,Franklin County,50991
1048,Kentucky,Fulton County,5969
1049,Kentucky,Gallatin County,8869
1050,Kentucky,Garrard County,17666
1051,Kentucky,Grant County,25069
1052,Kentucky,Graves County,37266
1053,Kentucky,Grayson County,26427
1054,Kentucky,Green County,10941
1055,Kentucky,Greenup County,35098
1056,Kentucky,Hancock County,8722
1057,Kentucky,Hardin County,110958
1058,Kentucky,Harlan County,26010
1059,Kentucky,Harrison County,18886
1060,Kentucky,Hart County,19035
1061,Kentucky,Henderson County,45210
1062,Kentucky,Henry County,16126
1063,Kentucky,Hickman County,4380
1064,Kentucky,Hopkins County,44686
1065,Kentucky,Jackson County,13329
1066,Kentucky,Jefferson County,766757
1067,Kentucky,Jessamine County,54115
1068,Kentucky,Johnson County,22188
1069,Kentucky,Kenton County,166998
1070,Kentucky,Knott County,14806
1071,Kentucky,Knox County,31145
1072,Kentucky,Larue County,14398
1073,Kentucky,Laurel County,60813
1074,Kentucky,Lawrence County,15317
1075,Kentucky,Lee County,7403
1076,Kentucky,Leslie County,9877
1077,Kentucky,Letcher County,21553
1078,Kentucky,Lewis County,13275
1079,Kentucky,Lincoln County,24549
1080,Kentucky,Livingston County,9194
1081,Kentucky,Logan County,27102
1082,Kentucky,Lyon County,8210
1083,Kentucky,McCracken County,65418
1084,Kentucky,McCreary County,17231
1085,Kentucky,McLean County,9207
1086,Kentucky,Madison County,92987
1087,Kentucky,Magoffin County,12161
1088,Kentucky,Marion County,19273
1089,Kentucky,Marshall County,31100
1090,Kentucky,Martin County,11195
1091,Kentucky,Mason County,17070
1092,Kentucky,Meade County,28572
1093,Kentucky,Menifee County,6489
1094,Kentucky,Mercer County,21933
1095,Kentucky,Metcalfe County,10071
1096,Kentucky,Monroe County,10650
1097,Kentucky,Montgomery County,28157
1098,Kentucky,Morgan County,13309
1099,Kentucky,Muhlenberg County,30622
1100,Kentucky,Nelson County,46233
1101,Kentucky,Nicholas County,7269
1102,Kentucky,Ohio County,23994
1103,Kentucky,Oldham County,66799
1104,Kentucky,Owen County,10901
1105,Kentucky,Owsley County,4415
1106,Kentucky,Pendleton County,14590
1107,Kentucky,Perry County,25758
1108,Kentucky,Pike County,57876
1109,Kentucky,Powell County,12359
1110,Kentucky,Pulaski County,64979
1111,Kentucky,Robertson County,2108
1112,Kentucky,Rockcastle County,16695
1113,Kentucky,Rowan County,24460
1114,Kentucky,Russell County,17923
1115,Kentucky,Scott County,57004
1116,Kentucky,Shelby County,49024
1117,Kentucky,Simpson County,18572
1118,Kentucky,Spencer County,19351
1119,Kentucky,Taylor County,25769
1120,Kentucky,Todd County,12294
1121,Kentucky,Trigg County,14651
1122,Kentucky,Trimble County,8471
1123,Kentucky,Union County,14381
1124,Kentucky,Warren County,132896
1125,Kentucky,Washington County,12095
1126,Kentucky,Wayne County,20333
1127,Kentucky,Webster County,12942
1128,Kentucky,Whitley County,36264
1129,Kentucky,Wolfe County,7157
1130,Kentucky,Woodford County,26734
1131,Louisiana,Louisiana,4648794
1132,Louisiana,Acadia Parish,62045
1133,Louisiana,Allen Parish,25627
1134,Louisiana,Ascension Parish,126604
1135,Louisiana,Assumption Parish,21891
1136,Louisiana,Avoyelles Parish,40144
1137,Louisiana,Beauregard Parish,37497
1138,Louisiana,Bienville Parish,13241
1139,Louisiana,Bossier Parish,127039
1140,Louisiana,Caddo Parish,240204
1141,Louisiana,Calcasieu Parish,203436
1142,Louisiana,Caldwell Parish,9918
1143,Louisiana,Cameron Parish,6973
1144,Louisiana,Catahoula Parish,9494
1145,Louisiana,Claiborne Parish,15670
1146,Louisiana,Concordia Parish,19259
1147,Louisiana,De Soto Parish,27463
1148,Louisiana,East Baton Rouge Parish,440059
1149,Louisiana,East Carroll Parish,6861
1150,Louisiana,East Feliciana Parish,19135
1151,Louisiana,Evangeline Parish,33395
1152,Louisiana,Franklin Parish,20015
1153,Louisiana,Grant Parish,22389
1154,Louisiana,Iberia Parish,69830
1155,Louisiana,Iberville Parish,32511
1156,Louisiana,Jackson Parish,15744
1157,Louisiana,Jefferson Parish,432493
1158,Louisiana,Jefferson Davis Parish,31368
1159,Louisiana,Lafayette Parish,244390
1160,Louisiana,Lafourche Parish,97614
1161,Louisiana,LaSalle Parish,14892
1162,Louisiana,Lincoln Parish,46742
1163,Louisiana,Livingston Parish,140789
1164,Louisiana,Madison Parish,10951
1165,Louisiana,Morehouse Parish,24874
1166,Louisiana,Natchitoches Parish,38158
1167,Louisiana,Orleans Parish,390144
1168,Louisiana,Ouachita Parish,153279
1169,Louisiana,Plaquemines Parish,23197
1170,Louisiana,Pointe Coupee Parish,21730
1171,Louisiana,Rapides Parish,129648
1172,Louisiana,Red River Parish,8442
1173,Louisiana,Richland Parish,20122
1174,Louisiana,Sabine Parish,23884
1175,Louisiana,St. Bernard Parish,47244
1176,Louisiana,St. Charles Parish,53100
1177,Louisiana,St. Helena Parish,10132
1178,Louisiana,St. James Parish,21096
1179,Louisiana,St. John the Baptist Parish,42837
1180,Louisiana,St. Landry Parish,82124
1181,Louisiana,St. Martin Parish,53431
1182,Louisiana,St. Mary Parish,49348
1183,Louisiana,St. Tammany Parish,260419
1184,Louisiana,Tangipahoa Parish,134758
1185,Louisiana,Tensas Parish,4334
1186,Louisiana,Terrebonne Parish,110461
1187,Louisiana,Union Parish,22108
1188,Louisiana,Vermilion Parish,59511
1189,Louisiana,Vernon Parish,47429
1190,Louisiana,Washington Parish,46194
1191,Louisiana,Webster Parish,38340
1192,Louisiana,West Baton Rouge Parish,26465
1193,Louisiana,West Carroll Parish,10830
1194,Louisiana,West Feliciana Parish,15568
1195,Louisiana,Winn Parish,13904
1196,Maine,Maine,1344212
1197,Maine,Androscoggin County,108277
1198,Maine,Aroostook County,67055
1199,Maine,Cumberland County,295003
1200,Maine,Franklin County,30199
1201,Maine,Hancock County,54987
1202,Maine,Kennebec County,122302
1203,Maine,Knox County,39772
1204,Maine,Lincoln County,34634
1205,Maine,Oxford County,57975
1206,Maine,Penobscot County,152148
1207,Maine,Piscataquis County,16785
1208,Maine,Sagadahoc County,35856
1209,Maine,Somerset County,50484
1210,Maine,Waldo County,39715
1211,Maine,Washington County,31379
1212,Maine,York County,207641
1213,Maryland,Maryland,6045680
1214,Maryland,Allegany County,70416
1215,Maryland,Anne Arundel County,579234
1216,Maryland,Baltimore County,827370
1217,Maryland,Calvert County,92525
1218,Maryland,Caroline County,33406
1219,Maryland,Carroll County,168447
1220,Maryland,Cecil County,102855
1221,Maryland,Charles County,163257
1222,Maryland,Dorchester County,31929
1223,Maryland,Frederick County,259547
1224,Maryland,Garrett County,29014
1225,Maryland,Harford County,255441
1226,Maryland,Howard County,325690
1227,Maryland,Kent County,19422
1228,Maryland,Montgomery County,1050688
1229,Maryland,Prince George's County,909327
1230,Maryland,Queen Anne's County,50381
1231,Maryland,St. Mary's County,113510
1232,Maryland,Somerset County,25616
1233,Maryland,Talbot County,37181
1234,Maryland,Washington County,151049
1235,Maryland,Wicomico County,103609
1236,Maryland,Worcester County,52276
1237,Maryland,Baltimore city,593490
1238,Massachusetts,Massachusetts,6892503
1239,Massachusetts,Barnstable County,212990
1240,Massachusetts,Berkshire County,124944
1241,Massachusetts,Bristol County,565217
1242,Massachusetts,Dukes County,17332
1243,Massachusetts,Essex County,789034
1244,Massachusetts,Franklin County,70180
1245,Massachusetts,Hampden County,466372
1246,Massachusetts,Hampshire County,160830
1247,Massachusetts,Middlesex County,1611699
1248,Massachusetts,Nantucket County,11399
1249,Massachusetts,Norfolk County,706775
1250,Massachusetts,Plymouth County,521202
1251,Massachusetts,Suffolk County,803907
1252,Massachusetts,Worcester County,830622
1253,Michigan,Michigan,9986857
1254,Michigan,Alcona County,10405
1255,Michigan,Alger County,9108
1256,Michigan,Allegan County,118081
1257,Michigan,Alpena County,28405
1258,Michigan,Antrim County,23324
1259,Michigan,Arenac County,14883
1260,Michigan,Baraga County,8209
1261,Michigan,Barry County,61550
1262,Michigan,Bay County,103126
1263,Michigan,Benzie County,17766
1264,Michigan,Berrien County,153401
1265,Michigan,Branch County,43517
1266,Michigan,Calhoun County,134159
1267,Michigan,Cass County,51787
